Computer Design,Computer Networking,Artificial Intelligence I,Computation Theory,Computer Graphics,Compiler Construction,Complexity Theory,Concepts in Programming Languages,Concurrent and Distributed Systems,Databases,"Economics, Law and Ethics",Further Java,Mathematical Methods,Logic and Proof,Programming in C and C++,Prolog,Security I,Semantics of Programming Languages,Software Engineering
2010 Paper 5 Question 2,,2007 Paper 4 Question 7 = Paper 11 Question 7 – solution notes,2007 Paper 4 Question 6 = Paper 11 Question 6 – solution notes,2007 Paper 3 Question 5 = Paper 10 Question 5 – solution notes,2007 Paper 4 Question 4 = Paper 11 Question 4 – solution notes,2007 Paper 6 Question 12 = Paper 13 Question 12 – solution notes,,2010 Paper 5 Question 5 – solution notes,2007 Paper 6 Question 8 = Paper 13 Question 8 – solution notes,,,2007 Paper 4 Question 5 – solution notes,2007 Paper 6 Question 9 – solution notes,,,,2007 Paper 6 Question 10 – solution notes,
2010 Paper 5 Question 3,,2006 Paper 3 Question 3 = Paper 10 Question 4 – solution notes,2006 Paper 3 Question 7 = Paper 10 Question 10 – solution notes,2007 Paper 5 Question 5 = Paper 12 Question 5 – solution notes,2007 Paper 5 Question 6 = Paper 12 Question 6 – solution notes,2006 Paper 5 Question 12 = Paper 12 Question 12 – solution notes,,2010 Paper 5 Question 6 – solution notes,2006 Paper 5 Question 8 = Paper 12 Question 8 – solution notes,,,2006 Paper 3 Question 10 – solution notes,2006 Paper 5 Question 9 – solution notes,,,,2006 Paper 5 Question 11 – solution notes,
2009 Paper 5 Question 3 ,,2006 Paper 4 Question 4 = Paper 11 Question 5 – solution notes,2006 Paper 4 Question 9 = Paper 11 Question 9 – solution notes,2007 Paper 6 Question 5 = Paper 13 Question 4 – solution notes,2007 Paper 6 Question 6 = Paper 13 Question 6 – solution notes,2006 Paper 6 Question 12 = Paper 13 Question 12 – solution notes,,,2006 Paper 6 Question 8 = Paper 13 Question 8 – solution notes,,,2006 Paper 4 Question 6 – solution notes,2006 Paper 6 Question 9 – solution notes,,,,2006 Paper 6 Question 11 – solution notes,
2009 Paper 5 Question 4,,2005 Paper 3 Question 3 = Paper 10 Question 4,2005 Paper 3 Question 7 = Paper 10 Question 9,2006 Paper 3 Question 8 = Paper 10 Question 11 – solution notes,2006 Paper 4 Question 2 = Paper 11 Question 3 – solution notes,2005 Paper 5 Question 10 = Paper 12 Question 12,,,2005 Paper 5 Question 8 = Paper 12 Question 8,,,,2005 Paper 5 Question 9,,,,2005 Paper 5 Question 11,
2008 Paper 5 Question 2,,2005 Paper 4 Question 4 = Paper 11 Question 5,2005 Paper 4 Question 9 = Paper 11 Question 10,2006 Paper 5 Question 5 = Paper 12 Question 5 – solution notes,2006 Paper 5 Question 6 = Paper 12 Question 6 – solution notes,2005 Paper 6 Question 12 = Paper 13 Question 12,,,2005 Paper 6 Question 8 = Paper 13 Question 8,,,,2005 Paper 6 Question 9,,,,2005 Paper 6 Question 11,
2008 Paper 6 Question 2,,2003 Paper 5 Question 7 = Paper 12 Question 7,2004 Paper 3 Question 7 = Paper 10 Question 9,2006 Paper 6 Question 5 = Paper 13 Question 5 – solution notes,2006 Paper 6 Question 6 = Paper 13 Question 6 – solution notes,2004 Paper 5 Question 12 = Paper 12 Question 12,,,2004 Paper 5 Question 8 = Paper 12 Question 7,,,,2004 Paper 5 Question 9,,,,2004 Paper 5 Question 11,
2007 Paper 5 Question 2,,2003 Paper 6 Question 7 = Paper 13 Question 7,2004 Paper 4 Question 9 = Paper 11 Question 10,2005 Paper 3 Question 8 = Paper 10 Question 10,2005 Paper 4 Question 1 = Paper 11 Question 3,2004 Paper 6 Question 12 = Paper 13 Question 12,,,2004 Paper 6 Question 6 = Paper 13 Question 8,,,,2004 Paper 6 Question 9,,,,2004 Paper 6 Question 11,
2007 Paper 6 Question 2,,1994 Paper 8 Question 8 = Paper 12 Question 7,2003 Paper 3 Question 7 = Paper 10 Question 9,2005 Paper 5 Question 5 = Paper 12 Question 5,2005 Paper 5 Question 6 = Paper 12 Question 6,2003 Paper 5 Question 12 = Paper 12 Question 12,,,2003 Paper 5 Question 8 = Paper 12 Question 8,,,,2003 Paper 5 Question 9,,,,2003 Paper 5 Question 11,
2006 Paper 5 Question 2,,1993 Paper 8 Question 7 = Paper 12 Question 7,2003 Paper 4 Question 9 = Paper 11 Question 10,2005 Paper 6 Question 6 = Paper 13 Question 6,2005 Paper 6 Question 5 = Paper 13 Question 5,2003 Paper 6 Question 11 = Paper 13 Question 12,,,2003 Paper 6 Question 8 = Paper 13 Question 8,,,,2003 Paper 6 Question 9,,,,2003 Paper 6 Question 12,
2006 Paper 6 Question 2 ,,,2002 Paper 3 Question 6 = Paper 10 Question 10,2004 Paper 3 Question 8 = Paper 10 Question 10,2004 Paper 4 Question 1 = Paper 11 Question 2,2002 Paper 5 Question 12 = Paper 12 Question 12,,,2002 Paper 5 Question 8 = Paper 12 Question 8,,,,2002 Paper 5 Question 11,,,,2002 Paper 5 Question 9,
